Country,Managed By,Fulfill Via,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Line Item Quantity,Line Item Value,Weight (Kilograms),Freight Cost (USD),Vendor,Line Item Insurance (USD),Line Item Insurance (USD,Delivery Year,Lead Time Days
côte d'ivoire,PMO - US,Direct Drop,Air,,,2006-06-02,2006-06-02,2006-06-02,19,551.0,13.0,780.34,RANBAXY Fine Chemicals LTD.,,0.0,2006,0
vietnam,PMO - US,Direct Drop,Air,,,2006-11-14,2006-11-14,2006-11-14,1000,6200.0,358.0,4521.5,Aurobindo Pharma Limited,,0.0,2006,0
côte d'ivoire,PMO - US,Direct Drop,Air,,,2006-08-27,2006-08-27,2006-08-27,500,40000.0,171.0,1653.78,Abbott GmbH & Co. KG,,0.0,2006,0
vietnam,PMO - US,Direct Drop,Air,,,2006-09-01,2006-09-01,2006-09-01,31920,127360.8,1855.0,16007.06,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),,0.0,2006,0
vietnam,PMO - US,Direct Drop,Air,,,2006-08-11,2006-08-11,2006-08-11,38000,121600.0,7590.0,45450.08,Aurobindo Pharma Limited,,0.0,2006,0
nigeria,PMO - US,Direct Drop,Air,,,2006-09-28,2006-09-28,2006-09-28,416,2225.6,504.0,5920.42,Aurobindo Pharma Limited,,0.0,2006,0
zambia,PMO - US,Direct Drop,Air,,,2007-01-08,2007-01-08,2007-01-08,135,4374.0,328.0,,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),,0.0,2007,0
tanzania,PMO - US,Direct Drop,Air,,,2006-11-24,2006-11-24,2006-11-24,16667,60834.55,1478.0,6212.41,Aurobindo Pharma Limited,,0.0,2006,0
nigeria,PMO - US,Direct Drop,Air,,,2006-12-07,2006-12-07,2006-12-07,273,532.35,,,Aurobindo Pharma Limited,,0.0,2006,0
zambia,PMO - US,Direct Drop,Air,,2006-11-13,2007-01-30,2007-01-30,2007-01-30,2800,115080.0,643.0,,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),,0.0,2007,0
zambia,PMO - US,Direct Drop,Air,,2006-12-01,2007-02-16,2007-02-16,2007-02-16,2800,115080.0,643.0,,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),,0.0,2007,0
zambia,PMO - US,Direct Drop,Air,,,2007-01-08,2007-01-08,2007-01-08,2500,100000.0,853.0,13569.49,"Trinity Biotech, Plc",,0.0,2007,0
nigeria,PMO - US,Direct Drop,Air,,,2007-01-10,2007-01-10,2007-01-10,10,850.0,,,EY Laboratories,,0.0,2007,0
rwanda,PMO - US,Direct Drop,Air,,2006-12-22,2007-02-27,2007-02-27,2007-02-27,10000,99800.0,7416.0,64179.42,CIPLA LIMITED,,0.0,2007,0
haiti,PMO - US,Direct Drop,Air,,,2007-01-18,2007-01-18,2007-01-18,750,60000.0,256.0,1760.32,Abbott GmbH & Co. KG,,0.0,2007,0
zimbabwe,PMO - US,Direct Drop,Air,,2007-01-10,2007-03-19,2007-03-19,2007-03-19,579,14764.5,,,BRISTOL-MYERS SQUIBB,,0.0,2007,0
nigeria,PMO - US,Direct Drop,Air,,,2007-05-07,2007-05-07,2007-05-07,1500,120000.0,,,ACCOUN NIGERIA LIMITED,192.0,192.0,2007,0
rwanda,PMO - US,Direct Drop,Air,,,2007-03-29,2007-03-29,2007-03-29,2000,33000.0,710.0,3120.7,Premier Medical Corporation Ltd.,,0.0,2007,0
tanzania,PMO - US,Direct Drop,Air,,2007-04-12,2007-06-06,2007-06-06,2007-06-06,712,8964.08,162.0,912.96,BRISTOL-MYERS SQUIBB,,0.0,2007,0
nigeria,PMO - US,Direct Drop,Air,,2007-05-13,2007-06-19,2007-06-19,2007-06-19,1000,80000.0,341.0,2682.47,Abbott GmbH & Co. KG,128.0,128.0,2007,0
nigeria,PMO - US,Direct Drop,Air,,2007-05-17,2007-06-19,2007-06-19,2007-06-19,7500,202500.0,2278.0,15893.71,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",,0.0,2007,0
côte d'ivoire,PMO - US,Direct Drop,Air,,2007-07-13,2007-10-02,2007-10-02,2007-10-02,5513,140581.5,2126.0,,BRISTOL-MYERS SQUIBB,224.93,224.93,2007,0
vietnam,PMO - US,Direct Drop,Air,,2007-07-04,2007-10-15,2007-10-15,2007-10-15,1000,1920.0,941.0,4193.49,Aurobindo Pharma Limited,3.07,3.07,2007,0
vietnam,PMO - US,Direct Drop,Air,,2007-07-04,2007-08-27,2007-08-27,2007-08-27,500,41095.0,117.0,1767.38,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),65.75,65.75,2007,0
